fecha,ano,mes,dia,hospitalizados_totales,hospitalizados_totales_cdmx,hospitalizados_totales_edomex,camas_intubados_totales,camas_intubados_cdmx,camas_intubados_edomex,camas_generales_totales,camas_generales_cdmx,camas_generales_edomex
21/12/2020,2020,diciembre 2020,21,7432,5389,2043,1767,1397,370,5665,3992,1673
22/12/2020,2020,diciembre 2020,22,7618,5525,2093,1821,1422,399,5797,4103,1694
23/12/2020,2020,diciembre 2020,23,7700,5559,2141,1853,1455,398,5847,4104,1743
24/12/2020,2020,diciembre 2020,24,7796,5615,2181,1901,1496,405,5895,4119,1776
25/12/2020,2020,diciembre 2020,25,7730,5573,2157,1923,1519,404,5807,4054,1753
26/12/2020,2020,diciembre 2020,26,7945,5721,2224,1978,1532,446,5967,4189,1778
27/12/2020,2020,diciembre 2020,27,8129,5848,2281,2045,1593,452,6084,4255,1829
28/12/2020,2020,diciembre 2020,28,8265,5962,2303,2016,1551,465,6249,4411,1838
29/12/2020,2020,diciembre 2020,29,8289,5961,2328,2037,1570,467,6252,4391,1861
30/12/2020,2020,diciembre 2020,30,8586,6199,2387,2076,1602,474,6510,4597,1913
31/12/2020,2020,diciembre 2020,31,8598,6155,2443,2079,1584,495,6519,4571,1948
01/01/2021,2021,enero 2021,1,8636,6225,2411,2155,1657,498,6481,4568,1913
02/01/2021,2021,enero 2021,2,8695,6318,2377,2169,1688,481,6526,4630,1896
03/01/2021,2021,enero 2021,3,8792,6341,2451,2148,1674,474,6644,4667,1977
04/01/2021,2021,enero 2021,4,8853,6373,2480,2143,1660,483,6710,4713,1997
05/01/2021,2021,enero 2021,5,8890,6419,2471,2129,1620,509,6761,4799,1962
06/01/2021,2021,enero 2021,6,9002,6519,2483,2115,1621,494,6887,4898,1989
07/01/2021,2021,enero 2021,7,9212,6681,2531,2172,1674,498,7040,5007,2033
08/01/2021,2021,enero 2021,8,9333,6762,2571,2166,1644,522,7167,5118,2049
09/01/2021,2021,enero 2021,9,9403,6811,2592,2199,1673,526,7204,5138,2066
10/01/2021,2021,enero 2021,10,9479,6848,2631,2227,1711,516,7252,5137,2115
11/01/2021,2021,enero 2021,11,9459,6912,2547,2254,1747,507,7205,5165,2040
12/01/2021,2021,enero 2021,12,9565,7013,2552,2281,1782,499,7284,5231,2053
13/01/2021,2021,enero 2021,13,9601,7024,2577,2241,1745,496,7360,5279,2081
14/01/2021,2021,enero 2021,14,9677,7112,2565,2301,1788,513,7376,5324,2052
15/01/2021,2021,enero 2021,15,9765,7167,2598,2369,1844,525,7396,5323,2073
16/01/2021,2021,enero 2021,16,9800,7223,2577,2412,1897,515,7388,5326,2062
17/01/2021,2021,enero 2021,17,9752,7180,2572,2380,1861,519,7372,5319,2053
18/01/2021,2021,enero 2021,18,9933,7296,2637,2379,1861,518,7554,5435,2119
19/01/2021,2021,enero 2021,19,10071,7401,2670,2385,1870,515,7686,5531,2155
20/01/2021,2021,enero 2021,20,10022,7381,2641,2381,1884,497,7641,5497,2144
21/01/2021,2021,enero 2021,21,10007,7319,2688,2383,1857,526,7624,5462,2162
22/01/2021,2021,enero 2021,22,10010,7304,2706,2373,1884,489,7637,5420,2217
